Eliokarmos corticatus	species	Hyacinthaceae
Calceolaria boliviana	species	Calceolariaceae
Entyloma arnoseridis	species	Entylomataceae
Mycosphaerella microsora	species	Mycosphaerellaceae
Euphorbia dendroides	species	Euphorbiaceae
Vibrissea sp. PDD 99893	species	Vibrisseaceae
Vibrissea sp. PDD 99892	species	Vibrisseaceae
Pardosa saltuaria	species	Lycosidae
Paris quadrifolia	species	Melanthiaceae
Sarcoporia polyspora	species	Coriolaceae
Euryops evansii	species	Asteraceae
Naringi	genus	Rutaceae
Trithemis pallidinervis	species	Libellulidae
Symbiodinium sp. One0504-2	species	Symbiodiniaceae
Pseudephebe	genus	Parmeliaceae
Masdevallia calura	species	Orchidaceae
Cephaloflexa bergi	species	Geoplanidae
Clymenia	genus	Rutaceae
Haliotis	genus	Haliotidae
Namaceae	family	Namaceae
Inocybe papilliformis	species	Inocybaceae
Cercospora cf. richardiicola MUCC 578	species	Mycosphaerellaceae
Swertia racemosa	species	Gentianaceae
Atocion	genus	Caryophyllaceae
Babesia sp. Coco	species	Babesiidae
Chloromonas sp. CCCryo207-05	species	Chlamydomonadaceae
Planorbidae	family	Planorbidae
Stevia lundiana	species	Asteraceae
Wilcoxina	genus	Pyronemataceae
Halophila ovalis	species	Hydrocharitaceae
Danthonia compressa	species	Poaceae
Festuca juncifolia	species	Poaceae
Schistidium abrupticostatum	species	Grimmiaceae
Simulium pictipes	species	Simuliidae
Doritis pulcherrima x Phalaenopsis equestris	species	Orchidaceae
Polycephalomyces sp. IK-2016a	species	Ophiocordycipitaceae
Bannoa bischofiae	species	Erythrobasidiaceae
Capniinae sp. BOLD:ACB3075	species	Capniidae
Tripospora	genus	Coryneliaceae
Torulaspora pretoriensis	species	Saccharomycetaceae
Vankya heufleri	species	Urocystidaceae
Ptychocylididae	family	Ptychocylididae
Struvea sp. Leliaert HEC12301A	species	Siphonocladaceae
Trachypogon	genus	Poaceae
Neosulcatispora agaves	species	Phaeosphaeriaceae
Anisakis simplex	species	Anisakidae
